Gene symbol,06h [339],06h [340],06h [341],12h [342],12h [343],12h [344],24h [345],24h [346],24h [347],36h [348],36h [349],36h [350],Peripheral lesion [74],Peripheral lesion [75],Peripheral lesion [124],Sham operated [69],Sham operated [70],Sham operated [123],E12.5 [84],E12.5 [86],E12.5 [87],E17.5 [336],E17.5 [337],E17.5 [338]
Micu1,890.868,1079.62,870.938,674.056,920.538,859.996,661.6,712.757,669.872,661.898,708.629,794.793,944.301,931.828,951.697,1240.84,1084.13,1185.4,509.418,494.695,545.726,657.557,451.468,598.873
Micu2,299.134,231.975,260.929,338.976,268.998,295.773,373.841,333.089,378.271,459.232,365.944,458.783,335.149,288.9,305.283,287.331,307.035,258.643,554.98,525.533,606.282,511.531,620.769,497.134
Micu3,1796.98,1514.43,2274.31,1905.28,1285.05,1362.06,998.548,1012.45,1306.53,825.756,683.819,780.947,1338.28,1412.77,1178.35,1515.38,1484,1628.13,224.517,226.146,210.505,952.671,1410.84,1056.7
Mid1,135.046,176.455,91.6777,101.303,210.033,206.29,162.326,204.775,123.12,170.326,226.389,182.775,164.092,146.955,143.969,73.8009,92.8416,104.375,334.305,322.516,281.153,142.092,98.7587,131.798
Mid1ip1,1828.2,2151.54,1579.68,1776.7,2516.01,2541.05,1638.01,1766.07,1318.68,1388.48,1851.43,1618.2,2906.43,3050.99,2720.37,3750.07,3800.66,3333.11,722.956,705.423,550.052,1749.26,1597.77,2853.32
Mid2,1527.62,1203.3,1583.2,1897.49,1233.88,1416.71,1537.17,1411.01,1614.33,1669.84,1573.87,1262.81,882.379,1001.97,857.452,973.188,890.403,951.99,350.225,353.996,318.641,881.407,966.424,746.857
Midn,1901.54,1972.89,1770.08,1605.27,2211.43,2390.78,2058.58,1929.54,1806.3,1820.76,2122.79,2047.45,1232.24,1035.36,1188.75,604.183,525.615,668.687,5185.85,5032.4,4210.09,929.499,818.286,1114.5
Mief1,1101.42,1076.32,1029.61,915.626,981.452,1180.36,1106.77,863.482,890.192,783.713,758.249,831.717,1062.73,951.868,990.435,801.97,807.064,863.673,977.665,951.485,932.853,791.342,811.232,899.465
Mief2,157.554,153.367,109.308,124.681,170.56,173.502,211.515,199.062,164.43,195.12,257.401,225.238,287.934,275.541,250.933,202.706,235.394,243.159,203.657,223.577,242.945,161.766,176.355,203.478
Mien1,682.491,578.838,595.905,525.998,520.939,510.943,378.76,453.053,451.981,384.85,311.673,339.703,786.401,701.376,699.029,933.827,878.706,795.428,331.561,318.018,241.504,602.032,539.646,418.517
